OBJECTID,SITE_NO,WIFI,SITENAME_EN,ADDRESS_EN,ACCESSHOURS_EN,COMPUTERS,ACCESSIBLECOMPUTERS,ACCESSCRITERIA_EN,LOCATIONTYPE_EN,LOCATIONTYPE_FR,SITENAME_FR,ADDRESS_FR,ACCESSHOURS_FR,ACCESSCRITERIA_FR,URL_EN,URL_FR,lat,lng
21,2, ,Community & Social Support Centre,410-2339 Ogilvie Rd.,"Monday-Friday. 8am-4pm summer, 8am-4:30pm winter",16,0,Employment Resource Area card (free),A. City Community and Social Supports Centres,A. Centres de services sociaux,Centres de services sociaux,"2339, chemin Ogilvie, 1er étage ","lundi-vendredi. 8 h-16 h ete, 8 h-16 h30 hiver",Sections de ressources à l’emploi (libre),n/a,indisponible,45.4519604,-75.5982827
22,3, ,Community & Social Support Centre,2020 Walkley Road,"Monday-Friday. 8am-4pm summer, 8am-4:30pm winter",20,0,Employment Resource Area card (free),A. City Community and Social Supports Centres,A. Centres de services sociaux,Centres de services sociaux,"2020, chemin Walkley ","lundi-vendredi. 8 h-16 h ete, 8 h-16h30 hiver",Sections de ressources à l’emploi (libre),n/a,indisponible,45.3837229,-75.6281287
23,4, ,Community & Social Support Centre,"100 Constellation Cres., 2nd Floor","Monday-Friday. 8am-4pm summer, 8am-4:30pm winter",22,0,Employment Resource Area card (free),A. City Community and Social Supports Centres,A. Centres de services sociaux,Centres de services sociaux,"100, promenade Constellation, 2ème étage  ","lundi-vendredi. 8 h-16 h ete, 8 h-16h30 hiver",Sections de ressources à l’emploi (libre),n/a,indisponible,45.3465964,-75.7628909
24,5, ,Albion-Heatherington Recreation Centre,1560 Heatherington,Available during facility operating hours,2,0,sign-in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre récréatif Albion-Heatherington,"1560, chemin Heatherington",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/albion,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-28,45.3729936,-75.6481322
25,6, ,Alexander Community Centre,960 Silver,Available during facility operating hours,8,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire Alexander,"960, rue Silver",Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/alexander-community,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-26,45.3804806,-75.7309076
26,32,wifi,Bibliothèque Ottawa Library - Cumberland,1599 Tenth Line,"Mon - Thurs 10-9, Fri 10-6, Sat 10-5, Sun closed",37,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Cumberland,1599 Tenth Line,"lundi - jeudi 10h - 21h, vendredi 10h - 18h, samedi 10h - 17h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/cumberland,https://biblioottawalibrary.ca/fr/branch/cumberland,45.4699001,-75.4929902
27,45,wifi,Bibliothèque Ottawa Library - North Gower,6579 Fourth Line,"Mon 5-8:30, Tues 10-8:30, Wed 10-12:30 & 1-5, Thurs 1-8:30, Fri closed, Sat 10-2, Sun closed",2,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - North Gower,6579 Fourth Line,"lundi 17h-20h30, mardi 10h - 20h 30, mercredi 10h - 13h et 2:30 & 13h-17h, jeudi 13h-20h30, vendredi fermer, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/north-gower,https://biblioottawalibrary.ca/fr/branch/north-gower,45.1329249,-75.7175823
28,46,wifi,Bibliothèque Ottawa Library - Orléans,1705 Orléans,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",17,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Orléans,1705 Orléans,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/orl%C3%A9ans,https://biblioottawalibrary.ca/fr/branch/orl%C3%A9ans,45.4565154,-75.5238264
29,47,wifi,Bibliothèque Ottawa Library - Osgoode,5630 Osgoode Main,"Mon 10-1 & 2-5, Tues 10-1 & 5:30-8:30, Wed-Thurs 2-5 & 5:30-8:30, Fri closed, Sat 10-2, Sun closed",4,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Osgoode,5630 Osgoode Main,"lundi 10h - 13h & 2-5, mardi 10h - 13h & 17h30-20h30, mercredi-jeudi 14h-17h & 17h30-20h30, vendredi fermer, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/osgoode,https://biblioottawalibrary.ca/fr/branch/osgoode,45.1474082,-75.6014476
30,48,wifi,Bibliothèque Ottawa Library - Richmond,6240 Perth St,"Mon 1:30-5 & 6-8:30, Tues 10-12:30, 1:30-5 & 6-8:30, Wed-Thurs 1:30-5 & 6-8:30, Fri 1:30-5, Sat 10-2, Sun closed",2,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Richmond,6240 rue Perth ,"lundi 13h30-17h & 18h-20h30, mardi 10h - 13h2:30, 13h30-17h & 18h-20h30, mercredi-jeudi 13h30-17h & 18h-20h30, vendredi 13h30-17h, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/richmond,https://biblioottawalibrary.ca/fr/branch/richmond,45.1907051,-75.8438167
31,49,wifi,Bibliothèque Ottawa Library - Rideau,377 Rideau,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",7,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Rideau,377 Rideau,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/rideau,https://biblioottawalibrary.ca/fr/branch/rideau,45.4300534,-75.6831599
32,7, ,Bellevue Community Centre,1475 Caldwell,Available during facility operating hours,4,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire Bellevue,1475 Caldwell,Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/bellevue-community-centre,http://ottawa.ca/fr/centre-communautaire-bellevue,45.3728131,-75.7367846
33,8, ,Bob McQuarrie Recreation Complex-Orléans,1490 Youville,Available during facility operating hours,2,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Complexe récréatif Bob-MacQuarrie - Orléans,"1490, promenade Youville ",Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/bob-macquarrie,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/complexe-15,45.4664732,-75.5452252
34,9,wifi,Canterbury Recreation Complex,2185 Arch,Available during facility operating hours,1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Complexe récréatif Canterbury," 2185, rue Arch",Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/canterbury,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/complexe-1,45.3909747,-75.6308043
35,10, ,Dalhousie Community Centre,755 Somerset,Available during facility operating hours,2,0,sign-in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire Dalhousie,"755, rue Somerset Ouest",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/dalhousie-community,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-20,45.4104056,-75.7089739
36,11, ,Hintonburg Community Centre,1064 Wellington,Available during facility operating hours,1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire de Hintonburg,1064 Wellington,Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/hintonburg,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-10,45.4036958,-75.7244962
37,12,wifi,Hunt Club-Riverside Park Community Centre,3320 Paul Anka Drive,Available during facility operating hours,4,0,sign-in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire de Hunt Club-Riverside Park,"3320, promenade Paul Anka",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/hunt-club-riverside,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-7,45.3518333,-75.672689
38,71, ,Michelle Heights Community House,2950 Penny Dr,Mon-Fri 10:30-4:30,7,0,sign-in,E. Community Houses,E. Maisons communautaires,Michele Heights Maison Communautaire,2950 promenade Penny ,lundi-vendredi 10h30-16h30,avec inscription,http://micheleheights.com/,http://micheleheights.com/,45.3525182,-75.8004688
39,72,wifi,Pinecrest Terrace Community House,"2483 Iris St W, Unit B","Mon: noon-3pm, Tues: noon-3, Wed: noon-2, Thurs: noon-3, Fri: noon-3. (Hours subject to change)",5,0,sign-in,E. Community Houses,E. Maisons communautaires,Pinecrest Terrace Maison Communautaire,"2483 Iris St W , Unité B","lundi: midi-15h, mardi: midi-15h, mercredi: midi-14h, jeudi: midi-15h, vendredi: midi-15h.  (Les heures peuvent être modifiées.)",avec inscription,http://www.pqchc.com/community-health/pinecrest-terrace/,http://www.pqchc.com/fr/sante-communautaire/pinecrest-terrace/,45.3522251,-75.7771984
40,73, ,Winthrop Court Community House,38 Winthrop Priv,9:30-3 (Mon-Thurs). (Hours subject to change),3,0,none,E. Community Houses,E. Maisons communautaires,Winthrop Court Maison Communautaire,38 privé Winthrop ,9h30-15 h (lundi-jeudi).  (Les heures peuvent être modifiées.),aucun,http://www.pqchc.com/community-health/winthrop-court/,http://www.pqchc.com/fr/sante-communautaire/winthrop-court/,45.3647705,-75.7894154
41,74, ,Carson's Community House,734 Carson's Rd,Monday to Wednesday and Friday from 9:00 a.m. to 5:00 p.m.; Thursday from 13:00 p.m. to 8:00 p.m.,4,0,sign-in,E. Community Houses,E. Maisons communautaires,La Maison Carson's,734 Carson's Rd,lundi a mercredi et vendredi de 9h a 17h; jeudi de 13h a 20h,avec inscription,n/a,indisponible,45.4417498,-75.6284539
42,75,wifi,Rochester Heights Community House,299 Rochester St,"Mon,Tues,Wed, Fri - 1-3. (Hours subject to change)",3,0,none,E. Community Houses,E. Maisons communautaires,Rochester Heights Community House,299 rue Rochester ,"lundi,mardi,mercredi, vendredi - 13h a 15h.  (Les heures peuvent être modifiées.)",aucun,https://www.facebook.com/Rochester-Heights-Community-House-375828885906566/timeline/,https://www.facebook.com/Rochester-Heights-Community-House-375828885906566/timeline/,45.4051469,-75.7094447
43,76, ,Caldwell Family Centre,"1100 Medford St, Units 20-22","Monday to Friday: 8:30 to 12:00, 1:00 to 4:00 p.m.",5,0,none,E. Community Houses,E. Maisons communautaires,Centre Familial Caldwell,"1100 Medford St, Units 20-22","lundi a vendredi: 8h 30 a 12h, 13 h a 16h",aucun,http://caldwellfamilycentre.ca/programs-services/,http://caldwellfamilycentre.ca/programs-services/,45.3730832,-75.7355499
44,78, ,St. Luke's Table,"760 Somerset Street West. Ottawa, ON. K1R 6P9","Monday, Wednesday & Thursday 8:00 a.m.-11:15 a.m. and 12:00-1:45 p.m.  Tuesday 8:00 a.m. to 1:00 p.m. Friday 8:00 a.m. to 1:15 p.m.",4,0,none,F. Other Community Access Points,F.Autres points d'access dans la communauté,St. Luke's Table,"760 , rue Somerset Ouest . Ottawa , ON . K1R 6P9","lundi, mercredi & jeudi 8h-11h15 and midi - 13h45.  mardi 8h a 13h. vendredi 8h a 13h15",aucun,http://www.stlukestable.ca/,http://www.stlukestable.ca/,45.410281,-75.7085039
45,79, ,Boys and Girls Club,430 McArthur Avenue,"Mon-Fri 4-8pm, Sat 5-9pm",15,0,members only,F. Other Community Access Points,F.Autres points d'access dans la communauté,Boys and Girls Club,430 McArthur Avenue,"lundi-vendredi 16h-20h, samedi 17h-21h",membres seulement,http://www.bgcottawa.org/locations/don-mcgahan-clubhouse,http://www.bgcottawa.org/locations/don-mcgahan-clubhouse,45.4322835,-75.6465509
46,80,wifi,Boys and Girls Club,2825 Dumaurier Avenue,"Mon-Fri 4-8pm, Sat 5-9pm",15,0,members only,F. Other Community Access Points,F.Autres points d'access dans la communauté,Boys and Girls Club,2825 Dumaurier Avenue,"lundi-vendredi 16h a 20h, samedi 17h a 21h",membres seulement,http://www.bgcottawa.org/locations/britannia-clubhouse,http://www.bgcottawa.org/locations/britannia-clubhouse,45.3514364,-75.793156
47,81, ,Carlington Community Health Centre,900 Merivale Road,"Mon & Fri: 8:30-4:15, Tues-Thurs: 8:30-7:45",5,0,sign-in,G. Community Health and Resource Centres,G. Centres de ressources et de santé communautaire,Centre de Santé Communautaire Carlington,900 rue Merivale ,"lundi & vendredi: 8h30-16h15, mardi-jeudi: 8h30-19h45",avec inscription,http://www.carlington.ochc.org/,http://www.carlington.ochc.org/,45.3838489,-75.7326533
48,82, ,Vanier Community Service Centre,290 Dupuis Street,"Mon, Tues, Thurs Fri: 8:30 – 4 pm, Wed 8:30 – 8 pm",10,1,sign in,G. Community Health and Resource Centres,G. Centres de ressources et de santé communautaire,Centre des Services Communautaires Vanier,290 rue Dupuis ,"lundi, mardi, jeudi et vendredi 8h 30 – 16h mercredi: 8h 30 – 20h",avec inscription,http://www.cscvanier.com/en/centre/contact,http://www.cscvanier.com/fr/centre/rejoindre,45.4353861,-75.6611206
49,83, ,"Nepean, Rideau and Osgoode Centre for a Healthy Community","Emerald Plaza, 1547 Merivale Road, (2nd Floor, Unit 240)",Mon to Fri: 9-4 pm,2,2,none,G. Community Health and Resource Centres,G. Centres de ressources et de santé communautaire,CRC Nepean Rideau & Osgoode,"Emerald Plaza , 1547, chemin Merivale , ( 2e étage , Unité 240 )",lundi – vendredi de 9h – 16 h,aucun,http://www.nrocrc.org/,http://www.nrocrc.org/,45.4215296,-75.6971931
50,85, ,South-East Ottawa Centre for a Healthy Community,"1355 Bank St, 6th floor",Mon – Fri from 9 – 4 pm,3,0,sign-in,G. Community Health and Resource Centres,G. Centres de ressources et de santé communautaire,Centre de Sante communautaire du sud-est d'Ottawa,1355 rue Bank 6e étage,lundi – vendredi de 9h – 16 h,avec inscription,http://www.seochc.on.ca/contact-us/,http://www.seochc.on.ca/contact-us/,45.3880025,-75.675122
51,86, ,South-East Ottawa Centre for a Healthy Community,"1485 Heatherington, Unit 22","Mon 9 – 4 pm, Tues 9 – 6 pm, Wed 9 – 4 pm, Thurs 9 – noon",1,0,sign-in,G. Community Health and Resource Centres,G. Centres de ressources et de santé communautaire,Centre de Sante communautaire du sud-est d'Ottawa,"1485 Heatherington , Unité 22","lundi 9h– 16h, mardi 9h-18h, mercredi 9h – 16h, jeudi 9h – midi",avec inscription,http://www.betterbeginnings.ca/English_main.htm,http://www.betterbeginnings.ca/French_main.htm,45.3722908,-75.6515346
52,87, ,Western Ottawa Community Resource Centre,2 MacNeil Court,"Summer – Mon 8:30 - 8:00,Tues-Fri 8:30 - 4:00  Regular – Mon to Thurs 8:30-8, Friday 8:30-4:00",2,0,sign-in,G. Community Health and Resource Centres,G. Centres de ressources et de santé communautaire,Centre de resources commautaires d'Ottawa ouest,"2, cour MacNeil","ete – lundi 8h30 - 20h,mardi-vendredi 8h30 - 16h  regulier – lundi a jeudi 8h30-20h, vendredi 8h30-16h",avec inscription,http://www.wocrc.ca/en/contact-us.aspx,http://www.wocrc.ca/fr/contact-us.aspx,45.2987789,-75.8904074
53,33,wifi,Bibliothèque Ottawa Library - Elmvale Acres,1910 St-Laurent,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",14,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Elmvale Acres,1910 St-Laurent,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/elmvale-acres,https://biblioottawalibrary.ca/fr/branch/elmvale-acres,45.3989506,-75.6240774
54,35,wifi,Bibliothèque Ottawa Library - Fitzroy Harbour,100 Clifford Campbell,"Mon 5:30-8:30, Tues-Wed closed, Thurs 10-1 & 5:30-8:30, Fri closed, Sat 10-1, Sun closed",2,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Fitzroy Harbour,100 Clifford Campbell,"lundi 5:30-8:30, mardi-mercredi fermer, jeudi 10h - 13h & 17h30-20h30, vendredi fermer, samedi 10h - 13h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/fitzroy-harbour,https://biblioottawalibrary.ca/fr/branch/fitzroy-harbour,45.4701637,-76.2066239
55,36,wifi,Bibliothèque Ottawa Library - Greely,1448 Meadow Dr,"Mon 10-1 & 4:30-8:30, Tues 10-1, Wed 10-1 & 4:30-8:30, Thurs 4:30-8:30, Fri closed, Sat 10-2, Sun closed",4,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Greely,1448 pomenade Meadow ,"lundi 10h - 13h & 16h 30 - 20h 30, mardi 10h - 13h, mercredi 10h - 13h & 16h 30 - 20h 30, jeudi 16h 30 - 20h 30, vendredi fermer, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/greely,https://biblioottawalibrary.ca/fr/branch/greely,45.2609323,-75.5565941
56,37,wifi,Bibliothèque Ottawa Library - Greenboro,363 Lorry Greenberg Dr,"Mon - Thurs 10-9, Fri 10-6, Sat 10-5, Sun closed",53,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Greenboro,363 promenade Lorry Greenberg,"lundi - jeudi 10h - 21h, vendredi 10h - 18h, samedi 10h - 17h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/greenboro-district-library,https://biblioottawalibrary.ca/fr/branch/greenboro-district-library,45.3634097,-75.6349195
57,38,wifi,Bibliothèque Ottawa Library - Hazeldean,50 Castlefrank,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",9,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Hazeldean,50 Castlefrank,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/hazeldean,https://biblioottawalibrary.ca/fr/branch/hazeldean,45.2954464,-75.8862564
58,39,wifi,Bibliothèque Ottawa Library - Main,120 Metcalfe,"Mon - Thurs 10-9, Fri 10-6, Sat 10-5, Sun closed",82,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Main,120 Metcalfe,"lundi - jeudi 10h - 21h, vendredi 10h - 18h, samedi 10h - 17h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/main,https://biblioottawalibrary.ca/fr/branch/biblioth%C3%A8que-centrale,45.4203703,-75.6954949
59,40,wifi,Bibliothèque Ottawa Library - Manotick,5499 South River,"Mon closed, Tues-Thurs 10-8:30, Fri 1-6, Sat 10-5, Sun closed",4,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Manotick,5499 South River,"lundi fermer, mardi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/manotick,https://biblioottawalibrary.ca/fr/branch/manotick,45.2303261,-75.6794904
60,42,wifi,Bibliothèque Ottawa Library - Munster,7749 Bleeks,"Mon-Thurs 2:30-5:30 & 6:30-8:30, Fri closed, Sat 10-2, Sun closed",2,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Munster,7749 Bleeks,"lundi-jeudi 14h30-17h30 & 18h30-20h30, vendredi fermer, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/munster,https://biblioottawalibrary.ca/fr/branch/munster,45.1652737,-75.9391566
61,43,wifi,Bibliothèque Ottawa Library - Nepean Centrepointe,101 Centrepointe,"Mon - Thurs 10-9, Fri 10-6, Sat 10-5, Sun closed",31,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Nepean Centrepointe,101 Centrepointe ,"lundi - jeudi 10h - 21h, vendredi 10h - 18h, samedi 10h - 17h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/nepean-centrepointe,https://biblioottawalibrary.ca/fr/branch/nepean-centrepointe,45.3444526,-75.7627376
62,13,wifi,Jack Purcell Community Centre,320 Jack Purcell,Available during facility operating hours,1,0,sign in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire Jack-Purcell,"320, allée Jack Purcell",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/jack-purcell,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-14,45.4157229,-75.6891851
63,26,wifi,Bibliothèque Ottawa Library - Beaverbrook,2500 Campeau,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",19,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Beaverbrook,2500 Campeau,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/beaverbrook,https://biblioottawalibrary.ca/fr/branch/beaverbrook,45.3219182,-75.8955824
64,27,wifi,Bibliothèque Ottawa Library - Blackburn Hamlet,199 Glen Park,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",9,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Blackburn Hamlet,199 Glen Park,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/blackburn-hamlet,https://biblioottawalibrary.ca/fr/branch/blackburn-hamlet,45.4306465,-75.5644811
65,28,wifi,Bibliothèque Ottawa Library - Carlingwood,281 Woodroffe,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",20,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Carlingwood,281 Woodroffe,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/carlingwood,https://biblioottawalibrary.ca/fr/branch/carlingwood,45.3732682,-75.7721581
