OBJECTID,SITE_NO,WIFI,SITENAME_EN,ADDRESS_EN,ACCESSHOURS_EN,COMPUTERS,ACCESSIBLECOMPUTERS,ACCESSCRITERIA_EN,LOCATIONTYPE_EN,LOCATIONTYPE_FR,SITENAME_FR,ADDRESS_FR,ACCESSHOURS_FR,ACCESSCRITERIA_FR,URL_EN,URL_FR,lat,lng
76,14,wifi,McNabb Recreation Centre,180 Percy,Available during facility operating hours,1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre récréatif McNabb,180 Percy,Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/mcnabb-recreation,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-3,45.4090845,-75.7018739
77,15, ,Nepean Creative Arts Centre,11-35 Stafford,Available during facility operating hours,2,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre des arts créatifs de Nepean,"35, chemin Stafford, Bells Corners",Disponible pendant les heures d'ouvertures,aucun,http://ottawa.ca/en/liveculture/arts-centre/nepean-creative-arts-centre,http://ottawa.ca/fr/culturevive/centres-des-arts/centre-des-arts-creatifs-de-nepean,45.3285703,-75.8220292
78,16, ,Nepean Sportsplex,1701 Woodroffe,Available during facility operating hours,1,0,sign-in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Le Sportsplex de Nepean,"1701, avenue Woodroffe",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/nepean-sportsplex,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/le-sportsplex-de-nepean,45.326775,-75.745277
79,17,wifi,Ron Kolbus Lakeside Centre,102 Greenview,Available during facility operating hours,3,0,sign-in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre Ron-Kolbus Lakeside,102 Greenview,Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/ron-kolbus-lakeside,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-ron,45.3638828,-75.8015302
80,18,wifi,Sandy Hill Community Centre,250 Somerset,Available during facility operating hours,3,0,sign in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre communautaire Côte-de-Sable,"250, rue Somerset Est",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/sandy-hill,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/centre-11,45.416824,-75.6926122
81,19, ,St-Laurent Complex,525 Côté,Available during facility operating hours,2,0,sign in,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Complexe St-Laurent,"525, rue Côté ",Disponible pendant les heures d'ouvertures,avec inscription,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/st-laurent-complex,http://ottawa.ca/fr/residents/parcs-et-des-loisirs/installations-recreatives/centres-recreatifs-emplacements/complexe-st,45.4355506,-75.6463689
82,20,wifi,Ben Franklin Place Client Service Centre,101 Centrepointe Dr,"Monday to Friday, 8:30-4:30",1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre du service à la clientèle de la Place-Ben-Franklin,"101, prom. Centrepointe ","lundi a vendredi, 8h30-16h30",aucun,http://ottawa.ca/en/city-hall/your-city-government/contact-city-ottawa/client-service-centres,http://ottawa.ca/fr/hotel-de-ville/votre-administration-municipale/nous-joindre/centres-du-service-la-clientele,45.3444526,-75.7627376
83,21, ,Orléans Client Service Centre,255 Centrum Blvd.,"Monday to Friday, 8:30-4:30",1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre du service à la clientèle d’Orléans,"255, boul. Centrum","lundi a vendredi, 8h30-16h30",aucun,http://ottawa.ca/en/city-hall/your-city-government/contact-city-ottawa/client-service-centres,http://ottawa.ca/fr/hotel-de-ville/votre-administration-municipale/nous-joindre/centres-du-service-la-clientele,45.4807315,-75.5098894
84,22, ,Kanata Client Service Centre,"Main level, 580 Terry Fox Dr","Monday to Friday, 8:30-4:30",1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre du service à la clientèle de Kanata,"Rez-de-chaussée, 580, promenade Terry-Fox","lundi a vendredi, 8h30-16h30",aucun,http://ottawa.ca/en/city-hall/your-city-government/contact-city-ottawa/client-service-centres,http://ottawa.ca/fr/hotel-de-ville/votre-administration-municipale/nous-joindre/centres-du-service-la-clientele,45.3010639,-75.9074129
85,23, ,Kanata Seniors Centre,2500 Campeau,"Monday to Friday, 8:30 - 4 p.m.",5,0,members only,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre des aînés de Kanata,"2500, promenade Campeau","lundi a vendredi, 8h30 - 16h",membres seulement,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/kanata-seniors-centre,http://ottawa.ca/fr/centre-des-aines-de-kanata,45.3219182,-75.8955824
86,24, ,Nepean Seniors Centre,1701 Woodroffe,"Monday to Friday, 8:30-4:30",1,0,none,"B. City Recreation Centres, Client Service Centres and Seniors Centres","B. Centres récréatifs, Centre de services et Centres des aines",Centre des aînés de Nepean,"1701, avenue Woodroffe, ","lundi a vendredi, 8h30-16h30",aucun,http://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/nepean-seniors-recreation-centre,http://ottawa.ca/fr/centre-des-loisirs-pour-les-aines-de-nepean,45.326775,-75.745277
87,25, ,Bibliothèque Ottawa Library - Alta Vista,2516 Alta Vista,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",19,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Alta Vista,"2516 , promenade Alta Vista","lundi-jeudi 10h-20h30, vendredi 13h-18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/alta-vista,https://biblioottawalibrary.ca/fr/branch/alta-vista,45.3781981,-75.6614283
