id,Join_Count,Status,Score,Match_type,Side,X,Y,Match_addr,ARC_Street,Entry_no,Owner_name,street,city,state,zip,Entry_no_1,License_Nu,Status_1,License_Ty,Orig_Iss_D,Expir_Date,Census_tra,Business_N,Mailing_Ad,Geo_Code,Tract2010,coords.x1,coords.x2
1266,1,M,100,A,L,-122.48186874,37.78032761,"5830 Geary Blvd, San Francisco, CA, 94121",5830 GEARY BLVD,1644,"TANG, DAISY HONG",5830 GEARY BLVD,San Francisco,CA,94121,1644,315339,ACTIVE,41,1996/03/26,2013/02/28,Census Tract: 0426.01,LA VIE VIETNAMESE RESTAURANT,NA,3800,42601,1825435.22483373,643939.964059027
1438,1,M,100,A,R,-122.45178947,37.76932235,"1797 Haight St, San Francisco, CA, 94117",1797 HAIGHT ST,1866,"CARDENAS, LORENA",1797 HAIGHT ST,San Francisco,CA,94117,1866,314745,ACTIVE,41,1996/03/27,2013/02/28,Census Tract: 0166.00,ZONA ROSA,NA,3800,16600,1828058.27038333,642663.874404151
1027,1,M,100,A,R,-122.41281707,37.78483972,"401 Ellis St, San Francisco, CA, 94102",401 ELLIS ST,1341,ELLIS STREET MANOR INC,401 ELLIS ST,San Francisco,CA,94102,1341,314471,ACTIVE,48,1996/04/01,2013/07/31,Census Tract: 0125.02,JONELLS,NA,3800,12502,1831526.5917946,644314.353902227
1634,1,M,100,A,L,-122.41912952,37.80784826,"400 Jefferson St, San Francisco, CA, 94109",400 JEFFERSON ST,2124,SFO FORECAST INC THE,400 JEFFERSON ST,San Francisco,CA,94109,2124,315322,ACTIVE,47,1996/04/12,2013/03/31,Census Tract: 0102.00,ITALIAN MARKETPLACE,"496 JEFFERSON ST SAN FRANCISCO, CA 94109",3800,10200,1831022.99803088,646879.36627199
2493,1,M,100,A,R,-122.45319306,37.76784441,"770 Stanyan St, San Francisco, CA, 94117",770 STANYAN ST,3211,HACKMOR INC,770 STANYAN ST,San Francisco,CA,94117,3211,314100,ACTIVE,47,1996/04/12,2013/03/31,Census Tract: 0171.02,KEZAR PUB THE,NA,3800,17102,1827931.26025797,642501.801337861
1299,1,M,100,A,R,-122.41327265,37.78668197,"607 Geary St, San Francisco, CA, 94102",607 GEARY ST,1686,"QUACH, CUI KY",607 GEARY ST,San Francisco,CA,94102,1686,318839,ACTIVE,41,1996/04/17,2013/05/31,Census Tract: 0123.02,KIM THANH RESTAURANT,NA,3800,12302,1831490.38379366,644519.749229691
2719,1,M,100,A,R,-122.42149129,37.76173712,"699 Valencia St, San Francisco, CA, 94110",699 VALENCIA ST,3508,"ECHEVERRIA, MIGUEL ANGEL",699 VALENCIA ST,San Francisco,CA,94110,3508,316744,ACTIVE,41,1996/04/29,2013/03/31,Census Tract: 0208.00,EL BUEN SABOR,NA,3800,20800,1830709.69091626,641766.417010814
1437,1,M,100,A,R,-122.43507324,37.77146659,"783 Haight St, San Francisco, CA, 94117",783 HAIGHT ST,1865,"ALARAJ, SUHEIL ALAN",783 HAIGHT ST,San Francisco,CA,94117,1865,309125,ACTIVE,41,1996/05/06,2013/04/30,Census Tract: 0167.00,GRIND CAFE THE,NA,3800,16700,1829535.76565886,642870.788078855
7310,1,M,100,A,R,-122.42758915,37.75163503,"3807 24th St, San Francisco, CA, 94114",3807 24TH ST,270,"ABUNIE, JAMIL",3807 24TH ST,San Francisco,CA,94114,270,319767,ACTIVE,21,1996/05/17,2013/05/31,Census Tract: 0214.00,SHUFAT MARKET,NA,3800,21400,1830149.47933414,640656.83165779
7361,1,M,100,A,R,-122.4111505,37.78884416,"657 Sutter St, San Francisco, CA, 94102",657 SUTTER ST,3277,"HAMDUN, MARWAN F",657 SUTTER ST,San Francisco,CA,94102,3277,318470,ACTIVE,21,1996/05/21,2013/04/30,Census Tract: 0121.00,MARTYS LIQUOR GOURMET,NA,3800,12100,1831682.17743735,644755.42600604
7451,1,M,100,A,R,-122.44321587,37.78476839,"2601 Sutter St, San Francisco, CA, 94115",2601 SUTTER ST,3324,"AMAECHI, CHRISTINA",2601 SUTTER ST,San Francisco,CA,94115,3324,315889,ACTIVE,21,1996/05/21,2013/04/30,Census Tract: 0154.00,G & R MARKET DELI,NA,3800,15400,1828849.55095006,644361.526827336
1949,1,M,100,A,L,-122.41819364,37.74897692,"3006 Mission St, San Francisco, CA, 94110",3006 MISSION ST,2506,"FLORES, CELSO ROMO",3006 MISSION ST,San Francisco,CA,94110,2506,318393,ACTIVE,41,1996/05/23,2013/04/30,Census Tract: 0209.00,CHAVITAS MEXICAN RESTAURANT,NA,3800,20900,1830971.40886543,640344.440335638
1910,1,M,100,A,L,-122.40927228,37.76571733,"2300 16th St, San Francisco, CA, 94103",2300 16TH ST UNIT 203,86,SAFEWAY INC,2300 16TH ST UNIT 203,San Francisco,CA,94103,86,315959,ACTIVE,21,1996/05/24,2013/06/30,Census Tract: 0177.00,SAFEWAY STORE 1490,"PO BOX 29096, M/S 6531 PHOENIX, AZ 85038-9096",3800,17700,1831795.34264273,642186.447235388
2706,1,M,100,A,L,-122.42268561,37.77245254,"4 Valencia St, San Francisco, CA, 94103",4 VALENCIA ST,3487,MARTUNIS INC,4 VALENCIA ST,San Francisco,CA,94103,3487,317748,ACTIVE,48,1996/05/28,2013/04/30,Census Tract: 0202.00,MARTUNIS,"1411 CASA BUENA DR, #13 CORTE MADERA, CA 94925",3800,20200,1830629.55880535,642958.055784504
17310,1,M,100,A,R,-122.4589524,37.71324329,"198 Broad St, San Francisco, CA, 94112",198 BROAD ST,712,"HUSSEIN, FOUAD MOHAMED",198 BROAD ST,San Francisco,CA,94112,712,318479,ACTIVE,21,1996/05/30,2013/04/30,Census Tract: 0314.00,FAMILY MARKET,NA,3800,31400,1827297.45404621,636454.255619196
1124,1,M,100,A,R,-122.41553063,37.76840518,"1807 Folsom St, San Francisco, CA, 94103",1807 FOLSOM ST,1469,"GALLARDO, FAUSTO",1807 FOLSOM ST,San Francisco,CA,94103,1469,315590,ACTIVE,41,1996/06/12,2013/05/31,Census Tract: 0177.00,GALLARDOS MEXICAN RESTAURANT,NA,3800,17700,1831250.09236583,642496.086797249
1950,1,M,100,A,R,-122.41850367,37.75345494,"2723 Mission St, San Francisco, CA, 94110",2723 MISSION ST,2507,LAS PALMERAS RESTAURANT,2723 MISSION ST,San Francisco,CA,94110,2507,319844,ACTIVE,41,1996/06/12,2013/04/30,Census Tract: 0209.00,LAS PALMERAS,"402 ALTALOMA AVE DALY CITY, CA 94015",3800,20900,1830954.65760963,640841.943390392
708,1,M,100,A,L,-122.43507082,37.7608767,"500 Castro St, San Francisco, CA, 94114",500 CASTRO ST,939,LANGLEY ENTERPRISES,500 CASTRO ST,San Francisco,CA,94114-2512,939,313170,ACTIVE,47,1996/06/18,2014/01/31,Census Tract: 0205.00,HARVEYS BAR,"PO BOX 14517 SAN FRANCISCO, CA 94114-0517",3800,20500,1829511.47646991,641696.269195697
1062,1,M,100,A,L,-122.43326085,37.78571365,"1761 Fillmore St, San Francisco, CA, 94115",1761 FILLMORE ST,1392,"ABUSHARKH, ADNAN KHALIL",1761 FILLMORE ST,San Francisco,CA,94115,1392,318787,ACTIVE,41,1996/06/20,2013/05/31,Census Tract: 0155.00,NA,NA,3800,15500,1829728.43081315,644448.145686925
20810,1,M,100,A,R,-122.42340328,37.79017478,"1765 California St, San Francisco, CA, 94109",1765 CALIFORNIA ST,847,WHOLE FOODS MARKET CALIFORNIA INC,1765 CALIFORNIA ST,San Francisco,CA,94109,847,315429,ACTIVE,20,1996/06/27,2013/05/31,Census Tract: 0151.00,WHOLE FOODS MARKET,"PO BOX 684786 AUSTIN, TX 78768-4786",3800,15100,1830606.59903608,644925.215671752
690,1,M,100,A,L,-122.43517748,37.76203945,"420 Castro St, San Francisco, CA, 94114",420 CASTRO ST,918,TAZ INC,420 CASTRO ST,San Francisco,CA,94114,918,315949,ACTIVE,41,1996/07/02,2013/06/30,Census Tract: 0205.00,MARCELLOS PIZZA,NA,3800,20500,1829505.42419539,641825.177376965
2241,1,M,100,A,L,-122.42121141,37.79286209,"1755 Polk St, San Francisco, CA, 94109",1755 POLK ST,2884,"JWEAINAT, WALEED NAJI",1755 POLK ST,San Francisco,CA,94109,2884,318618,ACTIVE,41,1996/07/02,2013/06/30,Census Tract: 0110.00,CREPE HOUSE THE,NA,3800,11000,1830805.95340799,645219.618036417
2591,1,M,100,A,R,-122.48464559,37.74260093,"1735 Taraval St, San Francisco, CA, 94116",1735 TARAVAL ST,3344,"CHEN, FU HUA",1735 TARAVAL ST,San Francisco,CA,94116,3344,318342,ACTIVE,41,1996/07/02,2013/04/30,Census Tract: 0330.00,TARAVAL OKAZU YA,NA,3800,33000,1825101.70526149,639759.044067959
2720,1,M,100,A,L,-122.42189928,37.7642696,"538 Valencia St, San Francisco, CA, 94110",538 VALENCIA ST,3509,"TONOZUKA, EIICHI",538 VALENCIA ST,San Francisco,CA,94110,3509,320093,ACTIVE,41,1996/07/02,2013/06/30,Census Tract: 0202.00,WE BE SUSHI,NA,3800,20200,1830679.82079141,642048.555363488
1575,1,M,100,A,L,-122.46544752,37.76413518,"716 Irving St, San Francisco, CA, 94122",716 IRVING ST,2049,"QUACH, LAURIE Y",716 IRVING ST,San Francisco,CA,94122,2049,319184,ACTIVE,41,1996/07/31,2013/06/30,Census Tract: 0302.02,IRVING STREET CAFE,NA,3800,30202,1826843.71546236,642113.264238044
1298,1,M,100,A,R,-122.41008632,37.78708156,"413 Geary St, San Francisco, CA, 94102",413 GEARY ST,1685,AMERICAN CONSERVATORY THEATRE FOUNDATION THE,413 GEARY ST,San Francisco,CA,94102,1685,316136,ACTIVE,64,1996/08/12,2013/07/31,Census Tract: 0123.01,AMERICAN CONSERVATORY THEATER,"30 GRANT AVE SAN FRANCISCO, CA 94108-5800",3800,12301,1831772.44555648,644558.910982201
25010,1,M,100,A,R,-122.46807274,37.78270493,"841 Clement St, San Francisco, CA, 94118",841 CLEMENT ST,1041,"TSANG, KENNY",841 CLEMENT ST,San Francisco,CA,94118,1041,321252,ACTIVE,21,1996/08/19,2013/07/31,Census Tract: 0402.00,CABLE CAR WINE & SPIRITS GROCERY,NA,3800,40200,1826655.73734969,644178.760749416
2785,1,M,100,A,L,-122.42182837,37.7871273,"1243 Van Ness Ave, San Francisco, CA, 94109",1243 VAN NESS AVE,3580,"JEW, MARVIN F",1243 VAN NESS AVE,San Francisco,CA,94109,3580,319574,ACTIVE,41,1996/08/20,2013/07/31,Census Tract: 0151.00,VILLAGE PIZZERIA,NA,3800,15100,1830738.25742224,644585.078330311
1365,1,M,100,A,R,-122.40541053,37.79017677,"342 Grant Ave, San Francisco, CA, 94108",342 GRANT AVE,1771,GRANT STREET VENTURE L-PSHIP,342 GRANT AVE,San Francisco,CA,94108,1771,321325,ACTIVE,70,1996/09/05,2013/08/31,Census Tract: 0117.00,HOTEL TRITON,NA,3800,11700,1832190.46009617,644893.809469339
3381,1,M,100,A,L,-122.431563,37.77736729,"867 Fillmore St, San Francisco, CA, 94117",867 FILLMORE ST,1434,"ABUDAMOUS, MOEEN",867 FILLMORE ST,San Francisco,CA,94117,1434,322694,ACTIVE,21,1996/09/10,2013/08/31,Census Tract: 0163.00,CHEERS MARKET,NA,3800,16300,1829858.20415574,643519.023862716
97,1,M,100,A,L,-122.43663988,37.76083172,"4248 18th St, San Francisco, CA, 94114",4248 18TH ST,125,MEYERS COMPANY LLC THE,4248 18TH ST,San Francisco,CA,94114,125,320290,ACTIVE,41,1996/09/16,2013/08/31,Census Tract: 0205.00,FIREWOOD CAFE,"133 STILLMAN ST SAN FRANCISCO, CA 94107-4218",3800,20500,1829373.5253641,641694.131604579
2794,1,M,100,A,R,-122.42358966,37.7972706,"2360 Van Ness Ave, San Francisco, CA, 94109",2360 VAN NESS AVE,3591,HOS BAR & RESTAURANT INC,2360 VAN NESS AVE,San Francisco,CA,94109-1872,3591,322777,ACTIVE,47,1996/09/19,2013/05/31,Census Tract: 0109.00,HOS BAR & RESTAURANT INC,NA,3800,10900,1830606.15442016,645712.900188993
